,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_lr_schedule,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
60,60,-499.0,2022-08-09 22:08:39.532968,2022-08-09 22:08:56.269318,0 days 00:00:16.736350,512,1000000,0.10308006584378963,0.027188787169419776,0.995,1.8724632068351752e-05,20000,linear,medium,1,20000,1,PRUNED
61,61,75.45001013558358,2022-08-09 22:08:56.273929,2022-08-09 22:24:30.213927,0 days 00:15:33.939998,512,1000000,0.10893911222134328,0.09656240995529776,0.995,0.00010241557397823941,1000,linear,large,1,20000,1,PRUNED
62,62,81.94386347290128,2022-08-09 22:24:30.218781,2022-08-09 22:39:56.944794,0 days 00:15:26.726013,512,1000000,0.09245456271795062,0.07445697625844097,0.995,2.0567527313601016e-05,1000,linear,large,1,20000,1,COMPLETE
63,63,79.81131812091917,2022-08-09 22:39:56.959949,2022-08-09 22:55:15.081322,0 days 00:15:18.121373,512,1000000,0.09240737592035049,0.018602306173575188,0.995,2.016298881625414e-05,1000,linear,large,1,20000,1,COMPLETE
64,64,62.59382947906852,2022-08-09 22:55:15.096906,2022-08-09 23:10:31.253238,0 days 00:15:16.156332,512,1000000,0.09114306806061648,0.025266442469484382,0.995,1.7404553266970525e-05,1000,linear,large,1,20000,1,PRUNED
65,65,53.30201904531568,2022-08-09 23:10:31.257340,2022-08-09 23:25:57.568238,0 days 00:15:26.310898,512,1000000,0.07800824711072316,0.047338908204028404,0.995,3.0306947920959067e-05,1000,linear,large,1,20000,1,PRUNED
66,66,69.0538498185575,2022-08-09 23:25:57.572842,2022-08-09 23:47:02.045844,0 days 00:21:04.473002,512,1000000,0.11981902935292159,0.0675886690304813,0.995,1.9367886469962556e-05,1000,linear,large,1,20000,1,PRUNED
67,67,61.22657287158072,2022-08-09 23:47:02.049890,2022-08-09 23:55:43.749072,0 days 00:08:41.699182,512,1000000,0.07049801692401655,0.021693553888093617,0.995,5.442576992382471e-05,5000,linear,large,1,20000,1,PRUNED
68,68,-499.0,2022-08-09 23:55:43.753428,2022-08-09 23:55:58.913628,0 days 00:00:15.160200,512,1000000,0.09670852648486021,0.06946962377583903,0.9,1.0711579318322292e-05,10000,linear,large,1,20000,1,PRUNED
69,69,98.14449657052755,2022-08-09 23:55:58.918009,2022-08-10 00:11:37.790526,0 days 00:15:38.872517,512,1000000,0.12728962049503378,0.04886491672731704,0.995,3.865454149963949e-05,1000,constant,large,1,20000,1,COMPLETE
70,70,-11.286454697139561,2022-08-10 00:11:37.805781,2022-08-10 00:26:39.412269,0 days 00:15:01.606488,512,100000,0.12761707734955408,0.11067054961672138,0.995,4.2277527256769985e-05,0,constant,large,1,1000,1000,PRUNED
71,71,86.4061350401491,2022-08-10 00:26:39.417350,2022-08-10 00:41:55.519746,0 days 00:15:16.102396,512,1000000,0.13855740244225453,0.011725379610985414,0.995,1.3815749822565001e-05,1000,constant,large,1,20000,1,COMPLETE
72,72,86.41960746943951,2022-08-10 00:41:55.532618,2022-08-10 00:57:16.618821,0 days 00:15:21.086203,512,1000000,0.13879560641110572,0.046959761546968015,0.995,1.5041152408482214e-05,1000,constant,large,1,20000,1,COMPLETE
73,73,88.28253894783556,2022-08-10 00:57:16.631763,2022-08-10 01:12:35.179994,0 days 00:15:18.548231,512,1000000,0.15133523505253704,0.04663853923557204,0.995,1.47570028114713e-05,1000,constant,large,1,20000,1,COMPLETE
74,74,-1.2678753647953271,2022-08-10 01:12:35.193041,2022-08-10 01:17:44.078423,0 days 00:05:08.885382,100,1000000,0.14839148381442654,0.04581133138849948,0.995,1.505892883966046e-05,1000,constant,large,1,20000,1,PRUNED
75,75,91.72901318743826,2022-08-10 01:17:44.082354,2022-08-10 01:32:59.856219,0 days 00:15:15.773865,512,1000000,0.1393405050393594,0.05272203944349656,0.995,3.035710120521481e-05,1000,constant,large,1,20000,1,COMPLETE
76,76,90.7018288269639,2022-08-10 01:32:59.870071,2022-08-10 01:48:24.705148,0 days 00:15:24.835077,512,1000000,0.1403713239473917,0.05136460957505742,0.995,3.054510148031452e-05,1000,constant,large,1,20000,1,COMPLETE
77,77,15.176526993326842,2022-08-10 01:48:24.718404,2022-08-10 02:03:38.931708,0 days 00:15:14.213304,512,1000000,0.15449620655477136,0.04029474691962148,0.995,1.4072566748443747e-05,1000,constant,large,1,20000,128,PRUNED
78,78,-95.890032351017,2022-08-10 02:03:38.936066,2022-08-10 02:06:39.937151,0 days 00:03:01.001085,32,1000000,0.14099385071625212,0.06001471507399991,0.995,1.0076259363546412e-05,1000,constant,large,1,20000,4,PRUNED
79,79,-19.986545342206956,2022-08-10 02:06:39.941170,2022-08-10 02:11:21.761449,0 days 00:04:41.820279,512,1000000,0.1376487351577412,0.10797638842034062,0.995,2.6160378654334017e-05,5000,constant,large,2,20000,16,PRUNED
80,80,66.45076811891049,2022-08-10 02:11:21.765938,2022-08-10 02:26:40.351906,0 days 00:15:18.585968,512,1000000,0.14694918495456663,0.07833834417143512,0.995,3.963514633331366e-05,1000,constant,large,1,20000,1,PRUNED
81,81,94.16462765298783,2022-08-10 02:26:40.356115,2022-08-10 02:42:13.003617,0 days 00:15:32.647502,512,1000000,0.1539352858691444,0.05037225454843856,0.995,3.18825141278435e-05,1000,constant,large,1,20000,1,COMPLETE
82,82,72.03923952262849,2022-08-10 02:42:13.185891,2022-08-10 02:57:25.914919,0 days 00:15:12.729028,512,1000000,0.1545109821067128,0.05248936677748045,0.995,1.3394104315669449e-05,1000,constant,large,1,20000,1,PRUNED
83,83,79.05380144696683,2022-08-10 02:57:25.918977,2022-08-10 03:12:55.500909,0 days 00:15:29.581932,512,1000000,0.1349076119633227,0.03690003879305537,0.995,5.520163840861514e-05,1000,constant,large,1,20000,1,PRUNED
